"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",3.886254,4.366735,4.690647,4.361707,4.916016,4.682357,4.166519,4.238596,2.938061,3.938511,5.913797
"Feb",5.056232,4.645138,5.612646,5.74719,5.391615,6.600384,5.388294,5.631801,4.770193,4.77122,6.383954
"Mar",6.885305,8.326141,6.934494,7.348692,6.005416,8.233648,6.568549,6.838408,6.571336,6.641119,7.075724
"Apr",8.564659,9.495143,7.997756,8.20831,8.183351,8.885073,9.395786,8.919947,8.2183,8.140631,9.772913
"May",8.739055,10.26038,10.56866,9.783314,9.403039,10.69018,9.915222,11.28763,9.019445,11.14507,13.5485
"Jun",12.4282,11.71163,13.28226,12.16249,11.34891,12.9899,13.5261,12.42069,10.35268,11.91881,11.79029
"Jul",29.50593,21.51345,24.98056,22.63033,22.02293,25.67201,20.18356,23.99764,19.37401,24.49783,20.53929
"Aug",28.20815,23.84408,25.5455,28.65403,26.95087,27.46591,24.7266,28.00105,22.9678,30.41051,26.46132
"Sep",17.83939,12.57592,11.0295,19.26932,16.22893,16.27046,12.11423,17.91755,11.68117,17.48631,16.00008
"Oct",3.995688,3.09491,2.303486,5.147776,4.423606,4.301652,3.211455,5.538472,2.644765,5.614274,4.037961
"Nov",1.942788,2.691005,2.248125,3.176363,2.523383,3.229859,2.761531,3.086369,2.429061,3.237596,3.170042
"Dec",3.448534,3.222,3.764448,3.913063,3.084591,3.54488,2.985428,2.133709,2.766089,4.0825,4.255512
