"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,14.8,13.52,59.71,18.3,0,3.49,21.79
1984,16,50,32.74,34.68,0,0,71.14,71.14
1985,16,27.57,27.57,75,0,0,0,0
1986,16,34.74,50,75,0,0,0,0
1987,16,50.44,9.62,30.57,0,0,82.24,82.24
1988,16,55.87,48.66,75,0,0,0,0
1989,16,23.96,28.58,75,0,0,0,0
1990,16,25,40.12,65.12,0,0,0,0
1991,16,34.56,50,75,0,0,0,0
1992,16,0,4.96,54.96,100,0,16.34,116.34
1993,16,21.66,0,50,0,0,29.73,29.73
1994,16,57.39,50,75,0,0,0,0
1995,16,11.99,14.74,59.09,41.74,0,5.17,46.9
1996,16,62.15,37.15,75,0,0,0,0
1997,16,53.76,50,75,0,0,0,0
1998,16,3.28,25,75,100,0,0,100
1999,16,14.17,39.17,75,23.54,0,0,23.54
2000,16,12.06,31.68,75,41.17,0,0,41.17
2001,16,22.32,47.32,75,0,0,0,0
2002,16,36.23,45.15,70.15,0,0,0,0
2003,16,26.02,40.09,75,0,0,0,0
2004,16,22.82,23.7,54.15,0,0,18.52,18.52
2005,16,33.79,48.91,75,0,0,0,0
2006,16,2.94,25,75,100,0,0,100
2007,16,35.45,36.27,75,0,0,0,0
2008,16,41.58,33.3,75,0,0,0,0
2009,16,56.29,34.37,74.46,0,0,0,0
2010,16,11.21,8.42,58.42,48.22,0,6.98,55.2
2011,16,62.12,50,75,0,0,0,0
2012,16,29.55,49.33,75,0,0,0,0
2013,16,31.84,50,75,0,0,0,0
2014,16,25,50,73.04,0,0,0,0
2015,16,36.18,45.64,66.76,0,0,0,0
2016,16,21.26,38.53,75,0,0,0,0
2017,16,7.34,32.34,75,80.48,0,0,80.48
2018,16,48.46,28.8,75,0,0,0,0
2019,16,74.52,32.03,57.03,0,0,10.73,10.73
