"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,28.06,2.24,40.47,0,0,30.73,30.73
1984,16,0.19,25.19,52.23,100,0,0,100
1985,16,0,25,75,100,0,0,100
1986,16,50,50,66.74,0,0,0,0
1987,16,35.16,28.68,34.39,0,0,50.37,50.37
1988,16,3.76,25,75,100,0,0,100
1989,16,0.32,15.27,65.06,100,0,0,100
1990,16,0,0,50,100,0,0,100
1991,16,9.1,8.2,41.37,0,0,27.85,27.85
1992,16,0,0,50,100,0,0,100
1993,16,10.74,8.56,58.56,0,0,0,0
1994,16,0,25,75,100,0,0,100
1995,16,0,25,75,100,0,0,100
1996,16,12.3,4.82,51.18,0,0,0,0
1997,16,33.02,39.73,50,0,0,0,0
1998,16,26.34,45.87,75,0,0,0,0
1999,16,0,25,75,100,0,0,100
2000,16,17.94,24.55,59.23,0,0,0,0
2001,16,0,0,50,100,0,0,100
2002,16,3.93,0,23.74,100,0,84.71,184.71
2003,16,14.12,17.92,39.1,0,0,35.18,35.18
2004,16,7.82,7.82,50,0,0,0,0
2005,16,7.14,25,61.14,0,0,0,0
2006,16,28.67,25,25,0,0,80.65,80.65
2007,16,2.84,25,75,100,0,0,100
2008,16,18.17,22.06,63.52,0,0,0,0
2009,16,0.98,2.44,51.46,100,0,0,100
2010,16,0,25,75,100,0,0,100
2011,16,31.16,31.16,61.62,0,0,0,0
2012,16,16.17,36.1,74.79,0,0,0,0
2013,16,0,23.24,73.24,100,0,0,100
2014,16,0,25,75,100,0,0,100
2015,16,11.28,17.25,67.25,0,0,0,0
2016,16,24.03,15.9,58.14,0,0,0,0
2017,16,3.39,28.39,72.64,100,0,0,100
2018,16,15.85,25,74.64,0,0,0,0
2019,16,12.64,8.46,50.54,0,0,0,0
