Time,HainET30Y Evapotranspiration
Jul 1983,30.91675
Jul 1984,17.6091
Jul 1985,23.71246
Jul 1986,29.16069
Jul 1987,36.28962
Jul 1988,24.33908
Jul 1989,28.67083
Jul 1990,30.08606
Jul 1991,22.13251
Jul 1992,32.80499
Jul 1993,24.6047
Jul 1994,23.21718
Jul 1995,27.53098
Jul 1996,20.27534
Jul 1997,22.65762
Jul 1998,27.75374
Jul 1999,36.97738
Jul 2000,33.17783
Jul 2001,35.57451
Jul 2002,28.12381
Jul 2003,21.93514
Jul 2004,30.15684
Jul 2005,25.38735
Jul 2006,24.59389
Jul 2007,22.75566
Jul 2008,25.93064
Jul 2009,20.61154
Jul 2010,25.58061
Jul 2011,25.09457
Jul 2012,21.40516
Jul 2013,19.68825
