"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,6.84,5.31,52.54,69.27,0,20.72,89.99
1984,16,66.99,34.16,59.16,0,0,2.34,2.34
1985,16,1.53,26.53,75,100,0,0,100
1986,16,25,50,50,0,0,27.78,27.78
1987,16,23.62,8.93,38.36,0,0,60.12,60.12
1988,16,10.28,35.28,75,12.03,0,0,12.03
1989,16,2.01,25,75,100,0,0,100
1990,16,10.06,33.69,73.63,15.66,0,0,15.66
1991,16,22.6,47.6,75,0,0,0,0
1992,16,17.89,17.89,30.2,0,0,82.78,82.78
1993,16,25.4,0,50,0,0,27.78,27.78
1994,16,17.02,42.02,75,0,0,0,0
1995,16,7.2,9.32,59.32,63.39,0,1.9,65.29
1996,16,28.76,25,75,0,0,0,0
1997,16,54.67,50,75,0,0,0,0
1998,16,44.86,50,75,0,0,0,0
1999,16,27.62,49.09,75,0,0,0,0
2000,16,17.44,26.32,75,0,0,0,0
2001,16,20.24,36.24,75,0,0,0,0
2002,16,25,50,75,0,0,0,0
2003,16,14.9,30.51,75,0,0,0,0
2004,16,14.11,16.14,60.43,0,0,0,0
2005,16,13.21,38.21,75,0,0,0,0
2006,16,15.07,15.07,50,0,0,27.78,27.78
2007,16,17.51,30.96,75,0,0,0,0
2008,16,28.95,25,75,0,0,0,0
2009,16,11.81,29.31,74.16,0,0,0,0
2010,16,23.33,48.33,75,0,0,0,0
2011,16,29.31,27.6,60.79,0,0,0,0
2012,16,18.91,29.37,60.46,0,0,0,0
2013,16,1.76,26.76,75,100,0,0,100
2014,16,0,25,62.01,100,0,0,100
2015,16,16.22,3.86,36.83,0,0,64.36,64.36
2016,16,48.16,42.74,75,0,0,0,0
2017,16,1.49,26.49,75,100,0,0,100
2018,16,53.23,28.23,75,0,0,0,0
2019,16,45.53,35.84,75,0,0,0,0
