"","MIXEDET"
"1983",4.6555500179112
"1984",26.3307341398465
"1985",26.1273105536644
"1986",43.0665828082441
"1987",14.168436284926
"1988",22.2854284453259
"1989",49.3094465269678
"1990",32.3418381423481
"1991",17.8711896518516
"1992",32.8525844581923
"1993",29.2567129852773
"1994",58.4821998084847
"1995",46.3386601402339
"1996",41.4321680842047
"1997",23.8801725873093
"1998",47.9818574075021
"1999",68.121388989631
"2000",29.1
"2001",24.7
"2002",10.4
"2003",38.6
"2004",29.9
"2005",39.4
"2006",53
"2007",65.9
"2008",55.9
"2009",37.5
"2010",46.9
"2011",28.8
"2012",34
"2013",46.1
"2014",23.7
