"","MIXEDET"
"1983",7.51641018317171
"1984",66.1399763453471
"1985",60.445494262921
"1986",56.4932131806644
"1987",15.8704708234085
"1988",57.2454156995382
"1989",62.1147237556666
"1990",51.519931995221
"1991",43.0188765888283
"1992",51.4236216254364
"1993",15.224595353444
"1994",95.6256239343428
"1995",67.5768188823983
"1996",57.3501400797876
"1997",27.0758793432995
"1998",103.497030890953
"1999",100.214064307813
"2000",50.7
"2001",26.9
"2002",12.3
"2003",78.6
"2004",29.3
"2005",89
"2006",90.4
"2007",85.1
"2008",87.6
"2009",63.8
"2010",91.8
"2011",67.8
"2012",65.4
"2013",77.1
"2014",69.1
