"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,42.9,37.53,75,0,0,0,0
1984,16,5.39,30.39,75,98.39,0,0,98.39
1985,16,28.77,50,75,0.95,0,0,0.95
1986,16,50.44,50,75,0,0,0,0
1987,16,69.24,50,75,0,0,0,0
1988,16,61.41,36.41,75,0,0,0,0
1989,16,71.2,50,75,0,0,0,0
1990,16,24.88,37.1,62.22,17.15,0,51.12,68.27
1991,16,51.62,41.51,75,0,0,0,0
1992,16,29.87,40.44,75,0,0,0,0
1993,16,72.82,50,75,0,0,0,0
1994,16,50,50,75,0,0,0,0
1995,16,48.23,50,75,0,0,0,0
1996,16,75,50,75,0,0,0,0
1997,16,75,50,75,0,0,0,0
1998,16,63.88,47.24,75,0,0,0,0
1999,16,42.8,50,75,0,0,0,0
2000,16,29.11,50,75,0,0,0,0
2001,16,41.01,50,75,0,0,0,0
2002,16,15.53,29.19,71,56.14,0,16.01,72.16
2003,16,50,50,75,0,0,0,0
2004,16,24.3,34.81,65.25,19.59,0,39.02,58.6
2005,16,50,50,75,0,0,0,0
2006,16,55.48,50,75,0,0,0,0
2007,16,18.02,38.76,75,45.75,0,0,45.75
2008,16,42.63,50,75,0,0,0,0
2009,16,56.04,50,75,0,0,0,0
2010,16,60.71,50,75,0,0,0,0
2011,16,50,50,75,0,0,0,0
2012,16,31.56,50,75,0,0,0,0
2013,16,26.42,47.36,75,10.74,0,0,10.74
2014,16,37.68,50,75,0,0,0,0
2015,16,25,17.32,67.32,16.67,0,30.74,47.41
2016,16,53.89,50,75,0,0,0,0
2017,16,33.87,50,75,0,0,0,0
2018,16,54.46,50,75,0,0,0,0
2019,16,73.1,50,75,0,0,0,0
