"","MIXEDET"
"1983",8.21313764313462
"1984",29.7756696508361
"1985",47.651769356867
"1986",44.8466846886865
"1987",-10.0742885245366
"1988",40.0665419829187
"1989",45.4261316770574
"1990",37.8502583775287
"1991",28.6782513253474
"1992",32.6306848513915
"1993",5.32319213765193
"1994",50.6634442362156
"1995",58.6463040439376
"1996",47.3040253199978
"1997",22.1275761551128
"1998",70.4215247258117
"1999",75.2135074987502
"2000",22.1
"2001",21.2
"2002",8
"2003",37.9
"2004",19.9
"2005",51.6
"2006",57.6
"2007",74.1
"2008",67.7
"2009",43
"2010",72.4
"2011",51.3
"2012",35.8
"2013",57
"2014",33.6
