"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,29.96,4.81,51.04,0,0,39.86,39.86
1984,16,21.12,22.7,48.08,0,0,49.73,49.73
1985,16,5.93,27.37,75,84.53,0,0,84.53
1986,16,49.85,50,75,0,0,0,0
1987,16,43.37,27.32,58.49,0,0,15.05,15.05
1988,16,25.78,42.56,75,0,0,0,0
1989,16,34.68,49.1,63.1,0,0,0,0
1990,16,10,19.02,55.03,16.7,0,26.57,43.26
1991,16,42.14,44.47,75,0,0,0,0
1992,16,7.77,11.27,53.5,53.78,0,31.67,85.46
1993,16,34.02,33.43,75,0,0,0,0
1994,16,34.56,50,75,0,0,0,0
1995,16,9.11,29.76,70.65,31.54,0,0,31.54
1996,16,67.59,42.59,75,0,0,0,0
1997,16,39.11,37.37,75,0,0,0,0
1998,16,27.42,50,75,0,0,0,0
1999,16,25,50,75,0,0,0,0
2000,16,27.49,50,75,0,0,0,0
2001,16,29.48,38.49,63.49,0,0,0,0
2002,16,4.97,12.79,41.88,100,0,70.39,170.39
2003,16,30.7,41.95,66.95,0,0,0,0
2004,16,9.41,27.54,67.93,26.57,0,0,26.57
2005,16,30.09,48.26,75,0,0,0,0
2006,16,32.32,50,67.76,0,0,0,0
2007,16,7.2,28.61,75,63.36,0,0,63.36
2008,16,22.88,25,75,0,0,0,0
2009,16,16.14,24.97,58.82,0,0,13.92,13.92
2010,16,54.63,43.6,75,0,0,0,0
2011,16,27.07,44.34,75,0,0,0,0
2012,16,13.35,38.35,75,0,0,0,0
2013,16,8.84,33.6,75,36.08,0,0,36.08
2014,16,2.81,26.26,75,100,0,0,100
2015,16,15.5,15.45,40.98,0,0,73.39,73.39
2016,16,44.46,50,75,0,0,0,0
2017,16,20.65,40.86,75,0,0,0,0
2018,16,38.27,44.02,75,0,0,0,0
2019,16,54.59,50,75,0,0,0,0
