Time,precipitation
1-10 Aug 1986,127.0939
11-20 Aug 1986,102.34
21-31 Aug 1986,84.56328
1-10 Sep 1986,91.53644
11-20 Sep 1986,11.48975
21-30 Sep 1986,6.895038
1-10 Oct 1986,8.395449
11-20 Oct 1986,1.933531
21-31 Oct 1986,2.443693
1-10 Nov 1986,1.324296
11-20 Nov 1986,1.221273
21-30 Nov 1986,1.370239
1-10 Dec 1986,1.704496
11-20 Dec 1986,1.744575
21-31 Dec 1986,2.201352
1-10 Jan 1987,1.688202
11-20 Jan 1987,1.642496
21-31 Jan 1987,1.697875
1-10 Feb 1987,0.8669698
11-20 Feb 1987,0.8666464
21-28 Feb 1987,1.374501
1-10 Mar 1987,10.25825
11-20 Mar 1987,4.994018
21-31 Mar 1987,4.320756
1-10 Apr 1987,2.757031
11-20 Apr 1987,1.614017
21-30 Apr 1987,2.034978
1-10 May 1987,18.12323
11-20 May 1987,84.03947
21-31 May 1987,57.92786
1-10 Jun 1987,64.96703
11-20 Jun 1987,39.8877
21-30 Jun 1987,13.33098
1-10 Jul 1987,85.56862
11-20 Jul 1987,44.26167
21-31 Jul 1987,26.36992
1-10 Aug 1987,94.31281
11-20 Aug 1987,92.32008
21-31 Aug 1987,122.8992
1-10 Sep 1987,21.38161
11-20 Sep 1987,10.42888
21-30 Sep 1987,6.033236
1-10 Oct 1987,6.60523
11-20 Oct 1987,7.649826
21-31 Oct 1987,7.048454
1-10 Nov 1987,1.409186
11-20 Nov 1987,1.305399
21-30 Nov 1987,1.312949
1-10 Dec 1987,1.82418
11-20 Dec 1987,1.909792
21-31 Dec 1987,2.277773
1-10 Jan 1988,1.376459
11-20 Jan 1988,1.444658
21-31 Jan 1988,1.658342
1-10 Feb 1988,2.102773
11-20 Feb 1988,1.822631
21-29 Feb 1988,3.78219
1-10 Mar 1988,2.938845
11-20 Mar 1988,2.752363
21-31 Mar 1988,2.336803
1-10 Apr 1988,1.529091
11-20 Apr 1988,1.831698
21-30 Apr 1988,2.269318
1-10 May 1988,11.37435
11-20 May 1988,15.20201
21-31 May 1988,12.76097
1-10 Jun 1988,40.27654
11-20 Jun 1988,17.12847
21-30 Jun 1988,8.865396
1-10 Jul 1988,142.6208
11-20 Jul 1988,103.2305
21-31 Jul 1988,151.9863
1-10 Aug 1988,145.6947
11-20 Aug 1988,177.3929
21-31 Aug 1988,86.99908
1-10 Sep 1988,30.64582
11-20 Sep 1988,21.47507
21-30 Sep 1988,3.006124
1-10 Oct 1988,2.845505
11-20 Oct 1988,9.680162
21-31 Oct 1988,3.832036
1-10 Nov 1988,1.518258
11-20 Nov 1988,1.318972
21-30 Nov 1988,1.339865
1-10 Dec 1988,1.760173
11-20 Dec 1988,1.910803
21-31 Dec 1988,2.11496
1-10 Jan 1989,1.671097
11-20 Jan 1989,2.044361
21-31 Jan 1989,1.691123
1-10 Feb 1989,0.9430023
11-20 Feb 1989,0.6805261
21-28 Feb 1989,1.135644
1-10 Mar 1989,5.240932
11-20 Mar 1989,5.963797
21-31 Mar 1989,9.096315
1-10 Apr 1989,1.692155
11-20 Apr 1989,2.603902
21-30 Apr 1989,3.896431
1-10 May 1989,10.24595
11-20 May 1989,16.64219
21-31 May 1989,14.06901
1-10 Jun 1989,16.89617
11-20 Jun 1989,23.25345
21-30 Jun 1989,35.50272
1-10 Jul 1989,93.21025
11-20 Jul 1989,73.91544
21-31 Jul 1989,58.12462
1-10 Aug 1989,69.52955
11-20 Aug 1989,68.86233
21-31 Aug 1989,37.31907
1-10 Sep 1989,16.83338
11-20 Sep 1989,6.219366
21-30 Sep 1989,6.763958
1-10 Oct 1989,3.549571
11-20 Oct 1989,9.71026
21-31 Oct 1989,2.867051
1-10 Nov 1989,1.732408
11-20 Nov 1989,1.530715
21-30 Nov 1989,2.23393
1-10 Dec 1989,5.410427
11-20 Dec 1989,1.85919
21-31 Dec 1989,1.960323
1-10 Jan 1990,1.965125
11-20 Jan 1990,1.815412
21-31 Jan 1990,2.101999
1-10 Feb 1990,1.982067
11-20 Feb 1990,1.877785
21-28 Feb 1990,1.204199
1-10 Mar 1990,5.508055
11-20 Mar 1990,4.797552
21-31 Mar 1990,5.805689
1-10 Apr 1990,1.568104
11-20 Apr 1990,1.001361
21-30 Apr 1990,9.661358
1-10 May 1990,9.212595
11-20 May 1990,7.660111
21-31 May 1990,8.630541
1-10 Jun 1990,16.65502
11-20 Jun 1990,16.0284
21-30 Jun 1990,25.42724
1-10 Jul 1990,34.65211
11-20 Jul 1990,58.86391
21-31 Jul 1990,107.2653
1-10 Aug 1990,54.65056
11-20 Aug 1990,46.7074
21-31 Aug 1990,53.15662
1-10 Sep 1990,13.69515
