"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,8.78,0.9,34.41,0,0,0,0
1984,16,0.41,0.41,8,100,0,91.31,191.31
1985,16,0,21.46,46.46,100,0,0,100
1986,16,0,0.63,25.63,100,0,14.63,114.63
1987,16,0.26,1.41,10.05,100,0,82.38,182.38
1988,16,0,4.12,54.12,100,0,0,100
1989,16,0.55,6.91,28.95,100,0,0.2,100.2
1990,16,0,0,44.33,100,0,0,100
1991,16,0,25,50,100,0,0,100
1992,16,0,0,25,100,0,17.39,117.39
1993,16,3.6,0,37.19,100,0,0,100
1994,16,0,0,33.05,100,0,0,100
1995,16,3.31,2.23,48.95,100,0,0,100
1996,16,16.16,12.91,48.16,0,0,0,0
1997,16,39.04,39.04,50,0,0,0,0
1998,16,0,25,75,100,0,0,100
1999,16,0,9.15,59.15,100,0,0,100
2000,16,0,0,28.22,100,0,3.38,103.38
2001,16,6.09,6.09,40.41,0,0,0,0
2002,16,6.71,0,29.16,0,0,0,0
2003,16,9.19,15.75,31.56,0,0,0,0
2004,16,8.81,8.81,14.48,0,0,63.14,63.14
2005,16,0,0,42.88,100,0,0,100
2006,16,2.74,25,50,100,0,0,100
2007,16,2.35,25,75,100,0,0,100
2008,16,0,9.94,49.16,100,0,0,100
2009,16,0,0,31.5,100,0,0,100
2010,16,0,0,50,100,0,0,100
2011,16,0,0,47.33,100,0,0,100
2012,16,0,0,49.38,100,0,0,100
2013,16,0,0,50,100,0,0,100
2014,16,0,0,25,100,0,17.39,117.39
2015,16,0,3.21,11.26,100,0,77.13,177.13
2016,16,0,0,45.06,100,0,0,100
2017,16,0,25,48.48,100,0,0,100
2018,16,4.88,9.3,52.23,100,0,0,100
2019,16,4.68,7.37,36.75,100,0,0,100
