"","MIXEDET"
"1983",7.6362808719336
"1984",40.8628284570384
"1985",33.8498492960642
"1986",30.4614517064599
"1987",13.5764446834556
"1988",45.6503976166067
"1989",56.1346775580377
"1990",26.0048945625419
"1991",9.92876436072132
"1992",31.986900455534
"1993",35.412244032366
"1994",60.225529503177
"1995",51.4518788077787
"1996",47.1761467395607
"1997",28.9216450859266
"1998",59.3667906179298
"1999",64.4127714263763
"2000",40.1
"2001",24.7
"2002",19.4
"2003",33.5
"2004",26.6
"2005",46.5
"2006",41.4
"2007",71.3
"2008",56.7
"2009",36.3
"2010",69
"2011",34.2
"2012",33.3
"2013",47.6
"2014",35.1
