T2,MODIS HAIN ET
Oct 2000,40.1
Oct 2001,24.7
Oct 2002,19.4
Oct 2003,33.5
Oct 2004,26.6
Oct 2005,46.5
Oct 2006,41.4
Oct 2007,71.3
Oct 2008,56.7
Oct 2009,36.3
Oct 2010,69.0
Oct 2011,34.2
Oct 2012,33.3
Oct 2013,47.6
Oct 2014,35.1
