Time,NDVI
Jul 1981,0.316371
Jul 1982,0.1226613
Jul 1983,0.2373387
Jul 1984,0.2672903
Jul 1985,0.2086936
Jul 1986,0.3716291
Jul 1987,0.2668065
Jul 1988,0.1414516
Jul 1989,0.2623226
Jul 1990,0.2863387
Jul 1991,0.214371
Jul 1992,0.215871
Jul 1993,0.2380968
Jul 1994,0.312242
Jul 1995,0.2649032
Jul 1996,0.3099194
Jul 1997,0.3562742
Jul 1998,0.2875484
Jul 1999,0.2010323
Jul 2000,0.2544355
Jul 2001,0.3399194
Jul 2002,0.2358065
Jul 2003,0.2266129
Jul 2004,0.2435323
Jul 2005,0.3004194
Jul 2006,0.2770807
