"","MIXEDET"
"1983",40.3654704126575
"1984",-15.7836467753319
"1985",42.4513906803919
"1986",21.9126421114782
"1987",12.6853841054352
"1988",13.0884154975207
"1989",33.0453860067007
"1990",-1.66820536696285
"1991",25.839824840849
"1992",16.8953488247811
"1993",16.3821942960262
"1994",7.4633955958977
"1995",38.4892180873996
"1996",27.2871876319135
"1997",10.6827945637245
"1998",31.3535763734015
"1999",27.8178220236318
"2000",3.2
"2001",7.1
"2002",1.8
"2003",23.1
"2004",2.2
"2005",27
"2006",20.8
"2007",46.4
"2008",32.9
"2009",24.2
"2010",41.6
"2011",13.6
"2012",27.7
"2013",2.3
"2014",18
