"","MIXEDET"
"1983",-19.0380341948427
"1984",86.6410731168748
"1985",86.1186678750542
"1986",68.6002034755611
"1987",52.1445364686238
"1988",62.8983533496424
"1989",43.4497955132037
"1990",62.1949671006704
"1991",4.29988201139965
"1992",21.6904758402455
"1993",49.9109548230832
"1994",110.838698162292
"1995",71.8579270112265
"1996",53.6488961232969
"1997",25.1541658347181
"1998",50.6324587948528
"1999",47.8772567907897
"2000",33.2
"2001",17
"2002",8.8
"2003",32.6
"2004",38.7
"2005",87.7
"2006",60.2
"2007",91
"2008",93.2
"2009",68.5
"2010",83.5
"2011",77.8
"2012",65.7
"2013",66.4
"2014",73
