"","MIXEDET"
"1983",2.31650525324529
"1984",31.9008411313395
"1985",43.402716013616
"1986",37.6225505579164
"1987",23.3792839267829
"1988",38.8963388489254
"1989",44.6410064311752
"1990",12.0660418440413
"1991",10.6630702934504
"1992",42.915654041977
"1993",50.5280951335294
"1994",54.2753763205897
"1995",62.4323956053618
"1996",40.8399145494148
"1997",40.3202278302405
"1998",62.2464748218771
"1999",58.3719973968955
"2000",31.5
"2001",42.4
"2002",16.2
"2003",38.9
"2004",26.8
"2005",47.1
"2006",51.8
"2007",70.8
"2008",56.4
"2009",35.2
"2010",68.9
"2011",21.6
"2012",39.9
"2013",45.1
"2014",38.1
