Time,HainET30Y Evapotranspiration
Jul 1983,24.02742
Jul 1984,14.71649
Jul 1985,19.16453
Jul 1986,21.71343
Jul 1987,33.85381
Jul 1988,22.64086
Jul 1989,13.47433
Jul 1990,10.28772
Jul 1991,23.79267
Jul 1992,28.86054
Jul 1993,24.42675
Jul 1994,21.42095
Jul 1995,20.95266
Jul 1996,19.62237
Jul 1997,27.98349
Jul 1998,19.75674
Jul 1999,22.83373
Jul 2000,39.90201
Jul 2001,20.56532
Jul 2002,28.0496
Jul 2003,23.13595
Jul 2004,25.11485
Jul 2005,18.55536
Jul 2006,19.82659
Jul 2007,12.55597
Jul 2008,19.07833
Jul 2009,8.947141
Jul 2010,23.13552
Jul 2011,13.27053
Jul 2012,28.66004
Jul 2013,13.39796
