T2,MODIS HAIN ET
Jul 2000,76.5
Jul 2001,31.1
Jul 2002,27.4
Jul 2003,118.3
Jul 2004,53.8
Jul 2005,99.9
Jul 2006,117.2
Jul 2007,108.3
Jul 2008,102.1
Jul 2009,67.1
Jul 2010,85.6
Jul 2011,34.5
Jul 2012,94.1
Jul 2013,34.2
Jul 2014,65.1
