Time,precipitation
21-31 Jul 1986,121.7546
1-10 Aug 1986,32.14885
11-20 Aug 1986,40.83746
21-31 Aug 1986,30.75337
1-10 Sep 1986,20.11278
11-20 Sep 1986,11.07424
21-30 Sep 1986,5.840073
1-10 Oct 1986,2.74684
11-20 Oct 1986,1.8618
21-31 Oct 1986,3.452787
1-10 Nov 1986,2.715279
11-20 Nov 1986,3.539802
21-30 Nov 1986,3.293914
1-10 Dec 1986,2.438914
11-20 Dec 1986,1.658056
21-31 Dec 1986,1.721012
1-10 Jan 1987,0.764195
11-20 Jan 1987,0.4866929
21-31 Jan 1987,0.9313105
1-10 Feb 1987,1.247646
11-20 Feb 1987,1.675386
21-28 Feb 1987,4.708947
1-10 Mar 1987,13.68098
11-20 Mar 1987,5.956743
21-31 Mar 1987,6.913633
1-10 Apr 1987,24.96192
11-20 Apr 1987,4.71098
21-30 Apr 1987,3.562589
1-10 May 1987,21.70991
11-20 May 1987,48.44222
21-31 May 1987,55.41042
1-10 Jun 1987,17.05698
11-20 Jun 1987,10.82856
21-30 Jun 1987,5.444403
1-10 Jul 1987,55.12696
11-20 Jul 1987,16.59814
21-31 Jul 1987,10.5267
1-10 Aug 1987,68.96922
11-20 Aug 1987,61.07073
21-31 Aug 1987,50.26434
1-10 Sep 1987,14.36928
11-20 Sep 1987,2.245564
21-30 Sep 1987,2.122438
1-10 Oct 1987,9.879575
11-20 Oct 1987,3.620302
21-31 Oct 1987,4.41728
1-10 Nov 1987,2.498696
11-20 Nov 1987,3.44275
21-30 Nov 1987,2.911442
1-10 Dec 1987,2.550526
11-20 Dec 1987,1.881218
21-31 Dec 1987,1.854595
1-10 Jan 1988,0.6852614
11-20 Jan 1988,0.3849231
21-31 Jan 1988,0.8370117
1-10 Feb 1988,3.57672
11-20 Feb 1988,8.005184
21-29 Feb 1988,6.922634
1-10 Mar 1988,2.717269
11-20 Mar 1988,2.531116
21-31 Mar 1988,2.760446
1-10 Apr 1988,5.48693
11-20 Apr 1988,15.87477
21-30 Apr 1988,7.328377
1-10 May 1988,9.79911
11-20 May 1988,16.44734
21-31 May 1988,10.88405
1-10 Jun 1988,7.684437
11-20 Jun 1988,2.839115
21-30 Jun 1988,5.584562
1-10 Jul 1988,64.38164
11-20 Jul 1988,65.09396
21-31 Jul 1988,136.7027
1-10 Aug 1988,69.69144
11-20 Aug 1988,76.9587
21-31 Aug 1988,38.59364
1-10 Sep 1988,8.075729
11-20 Sep 1988,15.04611
21-30 Sep 1988,4.270508
1-10 Oct 1988,1.794148
11-20 Oct 1988,4.821835
21-31 Oct 1988,3.839928
1-10 Nov 1988,3.619709
11-20 Nov 1988,4.595015
21-30 Nov 1988,3.92699
1-10 Dec 1988,2.424867
11-20 Dec 1988,1.847867
21-31 Dec 1988,1.57692
1-10 Jan 1989,0.7218586
11-20 Jan 1989,0.7711031
21-31 Jan 1989,0.9829248
1-10 Feb 1989,1.862116
11-20 Feb 1989,1.25086
21-28 Feb 1989,1.862073
1-10 Mar 1989,6.339328
11-20 Mar 1989,5.951564
21-31 Mar 1989,10.76044
1-10 Apr 1989,5.767994
11-20 Apr 1989,14.03391
21-30 Apr 1989,18.77814
1-10 May 1989,9.934053
11-20 May 1989,10.77953
21-31 May 1989,11.57506
1-10 Jun 1989,9.027338
11-20 Jun 1989,6.235253
21-30 Jun 1989,9.825245
1-10 Jul 1989,35.37454
11-20 Jul 1989,53.42123
21-31 Jul 1989,42.41538
1-10 Aug 1989,49.31715
11-20 Aug 1989,33.92227
21-31 Aug 1989,15.23721
1-10 Sep 1989,6.62783
11-20 Sep 1989,5.574973
21-30 Sep 1989,4.057909
1-10 Oct 1989,2.636839
11-20 Oct 1989,7.041877
21-31 Oct 1989,3.376967
1-10 Nov 1989,2.97952
11-20 Nov 1989,3.98991
