"time","crop","value"
"1983","Barley",87
"1984","Barley",71
"1985","Barley",92
"1986","Barley",97
"1987","Barley",100
"1988","Barley",100
"1989","Barley",96
"1990","Barley",84
"1991","Barley",97
"1992","Barley",84
"1993","Barley",94
"1994","Barley",100
"1995","Barley",82
"1996","Barley",98
"1997","Barley",90
"1998","Barley",100
"1999","Barley",96
"2000","Barley",100
"2001","Barley",79
"2002","Barley",72
"2003","Barley",100
"2004","Barley",62
"2005","Barley",78
"2006","Barley",100
"2007","Barley",96
"2008","Barley",98
"2009","Barley",87
"2010","Barley",81
"2011","Barley",100
"2012","Barley",100
"2013","Barley",100
"2014","Barley",100
"2015","Barley",100
"2016","Barley",99
"2017","Barley",95
"2018","Barley",100
"1983","Maize",86
"1984","Maize",49
"1985","Maize",49
"1986","Maize",73
"1987","Maize",85
"1988","Maize",59
"1989","Maize",64
"1990","Maize",52
"1991","Maize",81
"1992","Maize",71
"1993","Maize",96
"1994","Maize",86
"1995","Maize",72
"1996","Maize",98
"1997","Maize",82
"1998","Maize",84
"1999","Maize",50
"2000","Maize",63
"2001","Maize",46
"2002","Maize",47
"2003","Maize",62
"2004","Maize",40
"2005","Maize",53
"2006","Maize",76
"2007","Maize",67
"2008","Maize",73
"2009","Maize",48
"2010","Maize",75
"2011","Maize",71
"2012","Maize",83
"2013","Maize",61
"2014","Maize",99
"2015","Maize",61
"2016","Maize",62
"2017","Maize",85
"2018","Maize",88
"1983","Sorghum",88
"1984","Sorghum",51
"1985","Sorghum",50
"1986","Sorghum",64
"1987","Sorghum",88
"1988","Sorghum",61
"1989","Sorghum",66
"1990","Sorghum",58
"1991","Sorghum",81
"1992","Sorghum",73
"1993","Sorghum",96
"1994","Sorghum",86
"1995","Sorghum",72
"1996","Sorghum",99
"1997","Sorghum",82
"1998","Sorghum",85
"1999","Sorghum",52
"2000","Sorghum",69
"2001","Sorghum",56
"2002","Sorghum",49
"2003","Sorghum",63
"2004","Sorghum",42
"2005","Sorghum",55
"2006","Sorghum",77
"2007","Sorghum",68
"2008","Sorghum",76
"2009","Sorghum",49
"2010","Sorghum",76
"2011","Sorghum",74
"2012","Sorghum",86
"2013","Sorghum",61
"2014","Sorghum",99
"2015","Sorghum",62
"2016","Sorghum",64
"2017","Sorghum",88
"2018","Sorghum",88
"1983","Teff",63
"1984","Teff",53
"1985","Teff",62
"1986","Teff",92
"1987","Teff",83
"1988","Teff",73
"1989","Teff",69
"1990","Teff",63
"1991","Teff",67
"1992","Teff",60
"1993","Teff",66
"1994","Teff",79
"1995","Teff",56
"1996","Teff",68
"1997","Teff",78
"1998","Teff",80
"1999","Teff",66
"2000","Teff",78
"2001","Teff",56
"2002","Teff",55
"2003","Teff",78
"2004","Teff",47
"2005","Teff",58
"2006","Teff",80
"2007","Teff",85
"2008","Teff",75
"2009","Teff",59
"2010","Teff",58
"2011","Teff",77
"2012","Teff",80
"2013","Teff",76
"2014","Teff",75
"2015","Teff",75
"2016","Teff",77
"2017","Teff",65
"2018","Teff",73
"1983","Wheat",63
"1984","Wheat",53
"1985","Wheat",61
"1986","Wheat",91
"1987","Wheat",81
"1988","Wheat",72
"1989","Wheat",68
"1990","Wheat",62
"1991","Wheat",66
"1992","Wheat",59
"1993","Wheat",65
"1994","Wheat",78
"1995","Wheat",55
"1996","Wheat",67
"1997","Wheat",77
"1998","Wheat",79
"1999","Wheat",65
"2000","Wheat",77
"2001","Wheat",55
"2002","Wheat",54
"2003","Wheat",77
"2004","Wheat",47
"2005","Wheat",57
"2006","Wheat",79
"2007","Wheat",84
"2008","Wheat",75
"2009","Wheat",58
"2010","Wheat",57
"2011","Wheat",76
"2012","Wheat",79
"2013","Wheat",75
"2014","Wheat",74
"2015","Wheat",74
"2016","Wheat",75
"2017","Wheat",64
"2018","Wheat",72
