"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",13.23125,3.891575,2.072807,4.277892,6.802663,3.679608,6.108395,4.565816,5.610877,19.16457,3.903099
"Feb",15.66549,5.012304,3.304086,3.911654,5.532052,3.161958,9.281364,6.40882,3.845345,11.07881,15.61083
"Mar",13.119,5.525383,7.966518,7.364258,14.23973,8.406777,10.93373,14.70878,8.827813,13.68123,24.4007
"Apr",31.38044,15.44878,20.17301,25.74336,22.01343,34.72003,22.94762,25.86737,16.53576,32.32883,24.10768
"May",24.98878,21.84293,16.85946,34.98304,29.78126,31.1098,22.80819,33.19106,27.93937,42.17364,40.70609
"Jun",22.59196,24.41164,15.98167,19.99912,28.17315,21.75764,25.53698,26.1671,27.61736,24.50345,28.69965
"Jul",69.36936,49.20672,54.80835,50.40759,50.97468,61.76435,58.61958,43.08472,38.28953,60.92731,53.9797
"Aug",75.59664,73.48885,63.37435,80.71535,74.93272,78.94035,79.13279,75.40073,64.67194,82.87605,76.73504
"Sep",54.57034,47.77834,33.47055,52.02145,45.30288,48.03368,51.19862,56.16435,45.77127,53.30258,54.94343
"Oct",14.12391,13.70085,7.475022,14.81225,10.8749,13.09547,20.87953,26.03854,10.71389,17.85511,20.97414
"Nov",6.442819,19.64042,1.907323,6.553094,14.44868,7.950046,8.709679,10.14263,8.372512,8.056559,11.83314
"Dec",3.177337,5.758121,7.197011,7.913697,10.20925,4.622467,4.258567,9.570807,7.558393,7.439731,7.045611
