"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.3363992,0.1619986,0.2413008,0.3575,0.2799637,0.3659922,0.2657161,0.2696286,0.2790162,0.2738102,0.2740401,0.2387321,0.2743737,0.2569616,0.2124198,0.4026645,0.3661925,0.2637269,0.2740189,0.2744753,0.268494,0.2269558,0.2647655,0.3072535,0.3581531,0.3075976
"Aug",0.4838099,0.3265559,0.4353192,0.3525051,0.3466905,0.5009803,0.2970274,0.5345093,0.4331353,0.4398191,0.3721349,0.3884738,0.3371936,0.4758628,0.4396327,0.4212648,0.4639241,0.4195289,0.5429854,0.4530515,0.466921,0.4664766,0.4658125,0.4672831,0.5036596,0.3821775
"Sep",0.5621225,0.4889863,0.425736,0.3648342,0.4694934,0.5879761,0.4611531,0.6284443,0.4636336,0.4875453,0.4377671,0.557907,0.445843,0.6375456,0.5949772,0.5009508,0.3628868,0.5595453,0.6049012,0.5726045,0.6292186,0.5831817,0.5338381,0.5153056,0.5216723,0.537649
"Oct",0.5601695,0.5990672,0.3792855,0.4020051,0.4907752,0.5317923,0.5242038,0.4473405,0.4964515,0.480983,0.4584092,0.5399652,0.4544064,0.535919,0.4523918,0.4594066,0.408549,0.4575503,0.5123304,0.529572,0.4984161,0.5507051,0.4973668,0.4564606,0.459036,0.4677475
"Nov",0.4233148,0.4928019,0.387958,0.3156059,0.4404747,0.3973535,0.4208693,0.4198126,0.4156144,0.391124,0.4136568,0.4498088,0.4014806,0.4428582,0.3716182,0.438119,0.4394911,0.4839918,0.481183,0.4886511,0.4293607,0.4006598,0.3936792,0.3587858,0.3942906,0.3952851
"Dec",0.3412662,0.4195337,0.3187998,0.3093505,0.3587629,0.3774493,0.3113326,0.3867427,0.2707545,0.3621784,0.388507,0.3360471,0.346954,0.3751004,0.334547,0.3731524,0.4595234,0.4086427,0.382494,0.4851614,0.3747911,0.2870784,0.3876365,0.3076826,0.3683609,0.3331064
"Jan",,0.2534722,0.3649392,0.2515893,0.3288772,0.2975381,0.3404909,0.2755272,0.3505075,0.3284359,0.2798583,0.2859096,0.3377227,0.2853543,0.3102588,0.3098454,0.3154368,0.3329525,0.3563143,0.3450993,0.4356345,0.3119534,0.3736325,0.3057173,0.3059185,0.305905
"Feb",,0.2268699,0.2686846,0.2901948,0.2519346,0.2181794,0.2842988,0.2510309,0.3432339,0.2319399,0.2524663,0.2653582,0.3238064,0.221625,0.2868389,0.3166875,0.3370183,0.3698312,0.3857651,0.3233291,0.3405434,0.3531525,0.3335155,0.3024507,0.2972504,0.2479883
"Mar",,0.3175296,0.1728419,0.2992689,0.2199055,0.3204322,0.2376165,0.4101325,0.3169619,0.3477152,0.2632711,0.3338199,0.3841783,0.1776506,0.3146799,0.2626674,0.2281403,0.3266986,0.2518181,0.2808481,0.2899193,0.2799226,0.3352433,0.2527962,0.286905,0.2478755
"Apr",,0.3895043,0.2717057,0.3147827,0.2681073,0.3415218,0.4648446,0.3510453,0.4088378,0.3042851,0.3567116,0.3234126,0.2795221,0.2699386,0.3689032,0.3865916,0.3048129,0.357249,0.280716,0.2622055,0.3797559,0.3509414,0.2941966,0.2583424,0.3123773,0.3717154
"May",,0.3321213,0.3731964,0.2682145,0.3897246,0.4011241,0.4195839,0.3452448,0.3785461,0.2578553,0.3382299,0.3477918,0.4108191,0.2562964,0.4255071,0.3441125,0.2289839,0.3188036,0.1916634,0.3161121,0.324135,0.3198573,0.3095251,0.2931642,0.3831468,0.3698691
"Jun",,0.19904,0.4030252,0.3149601,0.3476382,0.3187769,0.3680764,0.2297646,0.2570011,0.186516,0.3244252,0.23251,0.3707054,0.1420082,0.2963873,0.4437871,0.2754863,0.254377,0.1743472,0.258237,0.2330471,0.172531,0.1829504,0.1933823,0.3138117,0.2401161
