"year","MIXEDET"
1983,34.2116105049189
1984,32.4357867042685
1985,32.0776676052059
1986,46.0776659573145
1987,45.1235082226339
1988,17.9408836629081
1989,46.5872365051363
1990,23.5530843933042
1991,35.314951772085
1992,37.0419246561993
1993,38.1604912012831
1994,18.0036293464811
1995,32.2885535797784
1996,49.3628485158946
1997,52.2821708211978
1998,45.1669463789966
1999,51.4002840184398
2000,37.87412
2001,28.25368
2002,24.38083
2003,48.28492
2004,45.96575
2005,50.54641
2006,45.67691
2007,48.69266
2008,27.95444
2009,39.47318
2010,49.24226
2011,33.71196
2012,40.57365
2013,40.3530824158345
2014,40.59639
