"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",14.88799,15.44717,14.92378,18.26114,20.2951,16.62197,19.34176,21.26296,18.67837,19.56937,21.65218,20.35936,19.27682,21.08013,21.0223,19.49316,23.39769,22.02002,22.33661,20.19139,21.33769,20.99469,18.553,20.0476,22.82574,19.4937,20.07922,20.9133,18.22777,19.05143,19.17343
"Feb",16.14805,11.99588,14.19005,19.08759,19.10831,18.32302,19.44969,18.42387,17.66242,19.02854,22.39438,19.97384,17.86884,24.91919,20.29688,17.18216,21.78576,22.42296,20.78751,24.20848,22.31523,19.67307,19.86373,19.87495,19.91143,21.25652,19.81487,19.705,18.77654,19.41086,19.60384
"Mar",25.01411,23.23968,23.71921,27.59827,27.38176,24.37238,24.92152,27.81334,25.32547,26.764,32.64489,25.43919,28.32483,30.21589,23.09257,23.63963,28.51155,31.88519,30.44872,32.49057,31.72957,28.2549,27.56789,30.31042,30.09854,27.17861,26.82153,24.95524,26.21576,27.90096,28.31504
"Apr",31.52773,27.15635,27.68408,26.65937,30.93854,26.27699,33.45045,27.5985,31.48346,30.96293,34.91468,29.3891,38.59118,36.07739,25.80884,34.07067,33.48884,34.83086,37.24294,34.82446,33.75579,33.13588,34.73571,35.69143,34.80158,31.07343,31.09865,36.81698,33.24164,35.29002,33.02106
"May",35.47135,31.75793,33.20584,38.85306,38.32321,36.25895,41.11331,33.40787,38.60474,38.23279,43.82405,37.68541,38.99234,44.45118,38.73398,38.04344,39.33533,37.01551,38.9153,34.97183,42.0513,37.92028,40.98114,43.85555,34.80515,35.08574,36.72398,39.5873,37.28427,39.94194,31.48014
"Jun",34.70279,26.19003,30.78442,28.08043,36.51028,30.39686,33.50196,27.37517,33.07846,30.34183,32.70935,25.25665,39.69154,33.18928,38.58659,36.59571,33.23417,34.5217,31.85992,34.28056,35.39483,31.4129,35.68802,33.36753,31.76357,28.30197,36.01614,29.87861,29.46793,33.78793,28.6028
"Jul",32.99955,31.82502,31.58816,40.84776,40.21668,22.23809,41.18479,25.95,33.7293,34.87152,35.61134,22.27959,31.72764,43.02058,44.95142,40.24541,44.36814,44.28404,39.87233,41.0717,35.55151,38.24983,39.53538,39.17487,45.12629,33.90251,34.63631,39.68761,36.58195,40.27173,37.06152
"Aug",31.54732,42.72176,43.36586,53.47365,50.1445,42.53791,39.69764,36.35652,44.95102,35.34134,44.64465,38.73404,53.21414,51.92568,53.97281,43.72354,60.69552,47.02126,48.28196,50.57391,42.60192,52.44957,48.77947,47.98687,55.30782,47.41759,51.84998,46.65759,43.75058,47.80379,44.12735
"Sep",43.97641,37.44838,46.50243,50.59398,46.56393,46.93736,36.50449,32.07026,42.6474,49.21824,46.89399,52.82887,51.21078,50.31495,50.64657,51.95935,52.35563,46.47451,53.89445,51.40944,50.98431,49.47478,45.78641,53.56166,49.98375,53.47009,56.10494,55.13507,46.24022,49.41749,47.0681
"Oct",29.08399,37.29235,37.8513,42.68007,37.99973,39.08548,42.31687,37.45824,43.69956,37.18676,38.31314,44.50226,42.54273,45.18691,38.46817,39.13583,38.632,40.31864,43.33281,47.43179,44.74581,38.90981,41.50621,45.72065,45.83492,39.38262,38.76576,47.2401,42.93726,42.47415,39.61885
"Nov",26.51552,23.14544,28.89657,29.66725,27.76077,28.62525,30.45781,26.90405,28.36021,28.7436,29.97881,29.38041,31.92742,27.74135,29.30981,32.51955,32.74816,32.11237,32.28724,30.82977,29.97364,28.64719,30.11542,32.05897,30.56672,27.9428,28.84514,29.00681,23.61452,28.3793,29.45559
"Dec",21.76844,18.53484,22.005,22.6973,21.56031,19.39324,18.56039,21.63795,22.40851,25.33796,22.57373,22.57249,24.56125,24.62612,25.40044,25.47357,27.23003,24.67444,26.4238,22.68144,21.01264,20.50972,23.53009,25.86912,24.35847,22.75195,22.84777,23.82151,23.17129,21.10965,22.96939
