"year","MIXEDET"
1983,20.944840547517
1984,33.5382227213576
1985,34.3957717282321
1986,41.8041390561242
1987,34.6234951365698
1988,36.2892681649516
1989,41.2469124718201
1990,33.7927335089959
1991,43.3682550540104
1992,33.3762250477985
1993,35.1043331976568
1994,44.5997687633192
1995,41.5934300828634
1996,45.6501684905875
1997,35.3421824194758
1998,36.3665158481006
1999,35.5935327259366
2000,53.17686
2001,44.01611
2002,42.20555
2003,36.01241
2004,34.79232
2005,38.19257
2006,40.89643
2007,34.90839
2008,44.54333
2009,33.61526
2010,36.80466
2011,38.92695
2012,30.98884
2013,37.1075719735152
2014,56.44382
