"","MIXEDET"
"1983",-3.92398403061634
"1984",28.4046953314076
"1985",33.843850757494
"1986",29.0622607251453
"1987",7.33984192036615
"1988",16.135260955482
"1989",33.5316452098739
"1990",-19.0408329263505
"1991",2.93608752605892
"1992",24.5404153457707
"1993",44.7130017709191
"1994",60.3590549530913
"1995",58.954145409405
"1996",42.34251569015
"1997",25.9402360901527
"1998",62.8441469624345
"1999",59.2659191801144
"2000",31.1
"2001",11.3
"2002",4.8
"2003",31.3
"2004",17.5
"2005",38.1
"2006",52.8
"2007",70.4
"2008",66.2
"2009",34.3
"2010",70.9
"2011",23.8
"2012",30.2
"2013",33.2
"2014",40.6
