"year","MIXEDET"
1983,32.5049854183281
1984,30.5223665515235
1985,28.3240462033886
1986,38.9424120674224
1987,41.4971769487179
1988,14.0445355913598
1989,36.3744598383208
1990,28.4074295578402
1991,31.7255277436046
1992,34.500311880268
1993,30.7844285226569
1994,18.814821709233
1995,26.5004594963302
1996,40.9182324878425
1997,42.5146855584627
1998,36.0212682622942
1999,35.8677240050513
2000,30.6881
2001,27.27413
2002,24.32074
2003,38.10868
2004,36.0822
2005,42.4622
2006,40.16906
2007,40.96807
2008,23.65388
2009,31.42802
2010,43.09467
2011,34.48906
2012,30.1407
2013,37.112413056373
2014,35.52126
