"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"18-Mar",1.78733647428571,0,1.78733647428571,30.07035,0,0,0,0,0,1.034991,2.784678,0,0,0,7.876153,0,0,0,0.3037109,0,0,0.405798,3.923934,0.2942165,0,0,0.3508835,0,0,0,0,0,0.3832769,0.1475368,9.353721,0,5.627527
"19-Mar",0.713527859714286,0.3635514,0.713527859714286,0,0.05978398,0,0,0,0,0.09883971,0,0,0.6363151,0,0,0,0,0,2.602532,0,0,11.9475,1.479754,0,0,0,0,0,0,0,0,0,7.613676,0.1715229,0,0,0
"20-Mar",0.72751082,0.2612229,0.72751082,0,0,0,0,7.954379,0,0,0,0,0,0.0520342,4.668338,0,0,0,2.100763,0,0,0,0,0,0,0,0,2.617224,0,0,5.941909,0,0.1224746,1.744534,0,0,0
"21-Mar",10.42443,0,0,0,0,0,0,0.1112646,0,0,0,0,6.852807,0.02586067,1.285746,0,0,0,1.082056,1.008264,0,0,0,0,0,0,0,0,0,0,0,0,6.205893,0,0,0,5.540579
"22-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,11.93854,0.5660887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51724,2.000726,0,0.9441364,0,8.724495,0,4.479259
"23-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,19.7359,4.935947,0,0,0,0,23.03015,0,0,0,0,0.1993098,0,0,0,0,13.90081,0,0,7.286302,0,0.5399255,0,24.97595
"24-Mar",0,0,0,0,0,0,0,0,0,0,0,5.084831,0,33.32239,0,0,0,0,0,10.72816,3.501212,0,0,0,0,0,5.983863,0,0,17.50077,0,0,0,0,0,0,0.06412581
"25-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.00858,0,0,0,0,0,0,0,0.06320319,0.1978067,0,0,0,0,0.2327644,0,0,0.1869685,0,0,0,0
"26-Mar",0,0,1.21104559657143,0,0.05978398,0,0,0,0,0,0.4175898,1.21104559657143,0,10.56047,0,13.82632,0,0,0,0,8.414567,0,0,7.386007,1.342622,0,0.3792361,0,0,0,0,0,0,0,0,0,0
"27-Mar",0,0,1.08921385714286,0,0,0,1.727207,2.588045,0,0,5.165898,1.08921385714286,0,0,0,0,0,0,0,0,0,0,0,0,3.141366,0,19.31623,0,0,0,0,0,0,0,0,0,6.183739
"28-Mar",0,0,1.86851317142857,0,9.031696,0,6.63454,3.777764,0,0,13.60686,1.86851317142857,0,0,0,0,0,0,0,21.18227,0,0,0,0,3.533315,0,0,0,0,2.598513,0,0,0,0,0,0,5.033003
"29-Mar",0,0,1.7581348,0,0,0,23.16958,1.290448,0,0,0,1.7581348,0,0,0,0,0,0,0,7.752101,0,0,0,0,0,0,0,0,0,16.34061,0,0,0,4.886414,0,0,8.095565
"30-Mar",0,0,0.385062408571429,0,0,0,0,3.450218,0,0.6974414,0,0.385062408571429,0,0,0,0,0,0,0,0,5.873785,0,0,1.440399,0,0,0,0.1826902,0,1.667497,0,0,0,0,0,0,0.1651537
"31-Mar",0,0,0.897481617142857,5.265993,0,0,0,0,0.8650402,0.0260171,0,0.897481617142857,0,0,4.013392,0,0,13.93804,2.235822,0,0,0,0,1.630663,0,0,0,0,0,0,0,0.1688513,0,3.268038,0,0,0
