"year","MIXEDET"
1983,23.4126802398481
1984,35.0993326651065
1985,34.2686728845544
1986,41.3152328716885
1987,36.1620391050031
1988,35.1569774577539
1989,40.2607657696962
1990,39.4955468158012
1991,39.9222344575853
1992,33.2428982449857
1993,35.4265215120505
1994,44.2173141749319
1995,44.3263975057015
1996,44.3421271507915
1997,33.6879753552278
1998,39.8864185601647
1999,35.9617574626624
2000,50.85012
2001,46.9771
2002,37.45031
2003,38.97623
2004,34.83598
2005,37.63657
2006,48.57619
2007,37.99633
2008,38.03625
2009,36.48327
2010,39.42933
2011,42.46262
2012,29.64216
2013,38.1079444801399
2014,53.69692
