"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"Jul",0.3674052,0.2222444,0.2330342,0.3928742,0.3335278,0.4220428,0.3111157,0.1746171,0.2856856,0.28851,0.3029431,0.2792996,0.3206472,0.3076618,0.2637371,0.4097792,0.4006218,0.2814513,0.2385709,0.250458,0.3047841,0.2313805,0.2640506,0.3019502,0.3435417,0.3408395
"Aug",0.4299128,0.3850467,0.4598386,0.5028358,0.404736,0.4717267,0.3657289,0.4038545,0.4926011,0.5436865,0.4218383,0.4478334,0.3849758,0.4423504,0.4249737,0.4126936,0.5103484,0.4234549,0.5029759,0.4564178,0.4591852,0.4652323,0.4707515,0.4468371,0.4919889,0.394776
"Sep",0.5837926,0.5009144,0.4901527,0.471293,0.4769222,0.5581217,0.5145965,0.6582875,0.4842731,0.5353964,0.493932,0.5564215,0.4199433,0.6447639,0.5846274,0.4840198,0.4704836,0.6192396,0.6146484,0.576166,0.5683237,0.5229399,0.5508206,0.4965079,0.5395021,0.5452962
"Oct",0.6096924,0.6104994,0.4361931,0.4686214,0.4870782,0.5014072,0.4721686,0.4991727,0.5196005,0.5110331,0.4611138,0.5567519,0.4459523,0.5548164,0.4895554,0.4133484,0.4691278,0.4764974,0.4954544,0.5651494,0.5083566,0.5400918,0.4984198,0.4584531,0.4766795,0.4897191
"Nov",0.4709212,0.5091416,0.4094536,0.3502191,0.4453175,0.3903922,0.4002306,0.4708354,0.440346,0.4191397,0.41348,0.4788266,0.4098001,0.4491803,0.4112133,0.390887,0.4064122,0.4686401,0.4995035,0.5355698,0.4725753,0.4254757,0.4157471,0.3603519,0.3817475,0.4143358
"Dec",0.3554582,0.4398037,0.3412863,0.319608,0.3699612,0.3377605,0.327772,0.4162562,0.3290647,0.3653128,0.3899994,0.366531,0.3510458,0.395719,0.3385126,0.3604513,0.4284759,0.4327993,0.4054559,0.5272674,0.4171273,0.3195087,0.399137,0.3027202,0.3372822,0.34558
"Jan",,0.260094,0.3651847,0.274624,0.3548165,0.3039793,0.3021443,0.3187005,0.3541557,0.3558676,0.3065393,0.3305856,0.3791066,0.303739,0.3241146,0.3045326,0.3162248,0.3002246,0.3607081,0.3496837,0.4455799,0.3382907,0.3565221,0.3083148,0.29847,0.3035293
"Feb",,0.2616488,0.2551113,0.3102523,0.2730117,0.2284635,0.2580946,0.2668671,0.3310322,0.2411214,0.2793191,0.2949643,0.2736831,0.2525444,0.2889558,0.3166158,0.3415853,0.3245337,0.3733909,0.3352365,0.3572859,0.3907582,0.3092597,0.2950912,0.295703,0.2535565
"Mar",,0.3481952,0.126976,0.2797565,0.2529367,0.3168741,0.2238019,0.3799875,0.2917313,0.382915,0.2684377,0.3557439,0.3092879,0.2088253,0.3151251,0.2473025,0.2654943,0.3160818,0.271761,0.2985087,0.3206888,0.3390805,0.3321164,0.2542299,0.2930541,0.2621448
"Apr",,0.3690853,0.2780732,0.2967432,0.2861508,0.3078451,0.4002618,0.3371339,0.3834129,0.3112484,0.3605826,0.374562,0.2463726,0.291234,0.2785527,0.3466841,0.3303457,0.3494754,0.29421,0.2742539,0.3968019,0.3931023,0.2745002,0.2700639,0.2990978,0.3572001
"May",,0.3221267,0.3619871,0.2488792,0.3933235,0.3739333,0.3679881,0.2954057,0.3614899,0.3168096,0.3090111,0.361727,0.4098656,0.298191,0.3906287,0.3702882,0.3005444,0.3491175,0.2335318,0.2900514,0.3139572,0.3556436,0.3198359,0.2841495,0.3126482,0.3665159
"Jun",,0.251665,0.4343746,0.2462863,0.3710416,0.3176314,0.3713019,0.2481468,0.2655139,0.2331171,0.3245044,0.2661225,0.4182683,0.1839819,0.3628795,0.3928591,0.2655974,0.2790819,0.2131838,0.2609604,0.2597664,0.193753,0.210806,0.2120019,0.258816,0.2767084
