"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Jan",6.125904,3.985348,1.665104,3.049021,5.422163,3.680492,3.665513,4.051333,3.197122,10.89324,6.153903
"Feb",8.993414,4.593664,4.165959,3.515946,5.276556,5.126032,6.554272,5.922642,3.247924,7.408288,14.19754
"Mar",10.20371,8.348699,8.14416,7.423183,11.66625,9.541359,10.7972,14.09599,7.737172,10.62123,17.53503
"Apr",20.44839,17.10165,14.90643,21.56999,19.05407,23.56773,19.14472,21.64586,13.37016,24.6107,21.29758
"May",22.66244,23.77297,18.4253,29.92665,27.68814,26.49927,22.62573,31.78431,27.76929,37.08552,40.3696
"Jun",26.17235,25.37637,21.79648,22.4115,28.56959,25.68442,30.64767,25.79676,28.40896,26.49862,28.46558
"Jul",70.73216,49.75904,55.16149,53.95757,56.26415,61.07067,58.35288,46.98033,45.1929,60.72062,52.4995
"Aug",74.13064,65.88403,65.00497,77.86268,70.49397,74.09203,74.3968,70.57616,64.53996,78.47658,71.84282
"Sep",48.71231,39.0531,34.20672,48.86658,42.26554,40.65076,43.17047,51.68371,39.64283,46.22942,47.66965
"Oct",10.58702,9.181077,6.888512,12.28193,12.00006,9.799724,15.41937,18.67006,9.154084,14.94201,15.87415
"Nov",4.230353,11.18939,2.707295,6.54819,12.84328,5.949981,7.576612,6.684293,5.708621,7.846918,9.650501
"Dec",4.186972,3.560833,5.037431,6.498738,7.159228,5.048708,5.591818,6.530276,7.16323,8.106229,8.617948
