"time","crop","value"
"1983","Barley",32
"1985","Barley",52
"1986","Barley",91
"1987","Barley",36
"1988","Barley",86
"1989","Barley",63
"1990","Barley",40
"1991","Barley",75
"1992","Barley",94
"1993","Barley",60
"1994","Barley",75
"1995","Barley",61
"1996","Barley",82
"1997","Barley",58
"1998","Barley",100
"1999","Barley",80
"2000","Barley",82
"2001","Barley",81
"2002","Barley",58
"2003","Barley",70
"2004","Barley",43
"2005","Barley",51
"2006","Barley",86
"2007","Barley",89
"2008","Barley",91
"2009","Barley",71
"2010","Barley",70
"2011","Barley",59
"2012","Barley",54
"2013","Barley",82
"2014","Barley",77
"2015","Barley",53
"2016","Barley",65
"2017","Barley",100
"2018","Barley",100
"1983","Maize",31
"1984","Maize",17
"1985","Maize",37
"1986","Maize",66
"1987","Maize",46
"1988","Maize",61
"1989","Maize",42
"1990","Maize",30
"1991","Maize",48
"1992","Maize",61
"1993","Maize",65
"1994","Maize",71
"1995","Maize",62
"1996","Maize",75
"1997","Maize",56
"1998","Maize",56
"2000","Maize",56
"2001","Maize",54
"2002","Maize",49
"2003","Maize",51
"2004","Maize",31
"2005","Maize",46
"2006","Maize",87
"2007","Maize",72
"2008","Maize",68
"2009","Maize",40
"2010","Maize",73
"2011","Maize",50
"2012","Maize",57
"2013","Maize",61
"2014","Maize",67
"2015","Maize",45
"2016","Maize",67
"2017","Maize",71
"2018","Maize",49
"1983","Sorghum",36
"1984","Sorghum",16
"1985","Sorghum",36
"1986","Sorghum",55
"1987","Sorghum",53
"1988","Sorghum",67
"1989","Sorghum",41
"1990","Sorghum",30
"1991","Sorghum",52
"1992","Sorghum",67
"1993","Sorghum",64
"1994","Sorghum",64
"1995","Sorghum",63
"1996","Sorghum",78
"1997","Sorghum",57
"1998","Sorghum",53
"2000","Sorghum",57
"2001","Sorghum",52
"2002","Sorghum",52
"2003","Sorghum",57
"2004","Sorghum",32
"2005","Sorghum",49
"2006","Sorghum",85
"2007","Sorghum",70
"2008","Sorghum",66
"2009","Sorghum",46
"2010","Sorghum",65
"2011","Sorghum",48
"2012","Sorghum",58
"2013","Sorghum",60
"2014","Sorghum",72
"2015","Sorghum",43
"2016","Sorghum",64
"2017","Sorghum",77
"2018","Sorghum",56
"1983","Teff",32
"1985","Teff",53
"1986","Teff",66
"1987","Teff",36
"1988","Teff",86
"1989","Teff",64
"1990","Teff",40
"1991","Teff",75
"1992","Teff",95
"1993","Teff",62
"1994","Teff",76
"1995","Teff",61
"1996","Teff",83
"1997","Teff",56
"1998","Teff",100
"1999","Teff",81
"2000","Teff",81
"2001","Teff",75
"2002","Teff",59
"2003","Teff",71
"2004","Teff",44
"2005","Teff",52
"2006","Teff",87
"2007","Teff",90
"2008","Teff",92
"2009","Teff",72
"2010","Teff",70
"2011","Teff",60
"2012","Teff",55
"2013","Teff",83
"2014","Teff",78
"2015","Teff",54
"2016","Teff",66
"2017","Teff",100
"2018","Teff",100
"1983","Wheat",32
"1985","Wheat",53
"1986","Wheat",92
"1987","Wheat",36
"1988","Wheat",86
"1989","Wheat",63
"1990","Wheat",40
"1991","Wheat",75
"1992","Wheat",94
"1993","Wheat",61
"1994","Wheat",75
"1995","Wheat",60
"1996","Wheat",82
"1997","Wheat",58
"1998","Wheat",100
"1999","Wheat",80
"2000","Wheat",83
"2001","Wheat",82
"2002","Wheat",59
"2003","Wheat",70
"2004","Wheat",44
"2005","Wheat",51
"2006","Wheat",86
"2007","Wheat",90
"2008","Wheat",91
"2009","Wheat",72
"2010","Wheat",70
"2011","Wheat",60
"2012","Wheat",54
"2013","Wheat",83
"2014","Wheat",77
"2015","Wheat",53
"2016","Wheat",65
"2017","Wheat",100
"2018","Wheat",100
