Time,HainET30Y Evapotranspiration
Jul 1983,29.80065
Jul 1984,16.84092
Jul 1985,20.19603
Jul 1986,20.65516
Jul 1987,27.57748
Jul 1988,26.51184
Jul 1989,25.3742
Jul 1990,16.75274
Jul 1991,25.18619
Jul 1992,28.60861
Jul 1993,24.71531
Jul 1994,19.88454
Jul 1995,24.17485
Jul 1996,21.73724
Jul 1997,28.46575
Jul 1998,23.94378
Jul 1999,33.04897
Jul 2000,31.69085
Jul 2001,26.25186
Jul 2002,25.62868
Jul 2003,25.13173
Jul 2004,25.64842
Jul 2005,22.47546
Jul 2006,23.13167
Jul 2007,19.76992
Jul 2008,26.50156
Jul 2009,18.88718
Jul 2010,25.83703
Jul 2011,26.11912
Jul 2012,15.88204
Jul 2013,18.15386
