"","MIXEDET"
"1983",47.1024760461031
"1984",-1.49474425827497
"1985",11.0864607371549
"1986",12.8081356299458
"1987",38.7658916987375
"1988",34.7698870099702
"1989",30.503892139161
"1990",-1.82540723400364
"1991",29.7988802763038
"1992",42.6324885933065
"1993",28.0331444857491
"1994",9.91841571209564
"1995",26.0064931831599
"1996",16.8657880769459
"1997",42.0967830737715
"1998",25.1400121919871
"1999",59.2832331034736
"2000",10.4
"2001",11.1
"2002",5.9
"2003",31.1
"2004",3.7
"2005",30.6
"2006",26.5
"2007",55.1
"2008",44.4
"2009",25.8
"2010",45.1
"2011",17.9
"2012",38.3
"2013",10
"2014",21.6
