"","MIXEDET"
"1983",-21.8229396341642
"1984",-0.995107963033703
"1985",44.4082129076844
"1986",41.7102355404926
"1987",6.78762109818663
"1988",30.1293083035964
"1989",30.1729067971727
"1990",2.75316861097111
"1991",-8.79260568232147
"1992",10.8464816669986
"1993",26.7349046952012
"1994",34.7060889081682
"1995",34.401562716221
"1996",41.2631077848704
"1997",3.11601773702288
"1998",79.8788153123544
"1999",71.8317095847115
"2000",6.8
"2001",3.9
"2002",2.5
"2003",30.4
"2004",2.1
"2005",51
"2006",51.6
"2007",74.6
"2008",66.7
"2009",31.7
"2010",60.4
"2011",20.6
"2012",25.9
"2013",31.2
"2014",49.9
