Time,HainET30Y Evapotranspiration
Jul 1983,22.61806
Jul 1984,8.941456
Jul 1985,22.4359
Jul 1986,25.77261
Jul 1987,28.12658
Jul 1988,28.22783
Jul 1989,31.32746
Jul 1990,12.11573
Jul 1991,20.86867
Jul 1992,29.38785
Jul 1993,24.95728
Jul 1994,27.44776
Jul 1995,25.70772
Jul 1996,32.34228
Jul 1997,28.19276
Jul 1998,28.09155
Jul 1999,26.70734
Jul 2000,34.59389
Jul 2001,17.53024
Jul 2002,21.49836
Jul 2003,31.42449
Jul 2004,26.31123
Jul 2005,21.99535
Jul 2006,22.24892
Jul 2007,31.67405
Jul 2008,22.83595
Jul 2009,18.77184
Jul 2010,26.18968
Jul 2011,18.40981
Jul 2012,32.86325
Jul 2013,21.66193
